review_id,umkm_id,author,rating,date_relative,text
8f52632d88e09680,istana_nasi_goreng,Adinda Mufida zahra,1,4 hari lalu,"nasi goreng nya enggak ada rasa
sama ifu mie goreng nya asin kaliiie"
3c82578b11f5ed03,istana_nasi_goreng,Abdul Rouf,5,4 hari lalu,Enak kalee
eb09a4b1fbedce89,istana_nasi_goreng,Ferik Talsim,5,2 minggu lalu,Nasi goreng daging ayam + semur telur + acar cabe rawit ( SEMPURNA ) titik!!!
bee135e422a2154f,istana_nasi_goreng,Yesi Sii,5,setahun lalu,Mantul
421433ccb4a32a62,istana_nasi_goreng,martin rizky,1,2 tahun lalu,"Makannya kurang enak, agak basi ya gaes"
b22ec5e2acc3e7ba,istana_nasi_goreng,nurhayati,5,2 tahun lalu,"Bukan memuji karna lokasinya disamping rumah ya. Tapi memang nasgor dan menu lainnya disini memang gaada lawan, mana porsinya banyak harga terjangkau. Top lah"
34550db730943f53,istana_nasi_goreng,Hamid Journey,4,2 tahun lalu,"Beberapa waktu lalu saya kesini dan pesan beberapa menu : Nasi goreng, capcay, ifumie, jus martabe, dan jus jeruk (76 k). Untuk rasa menurut saya lumayan enak, porsi banyak, harga terjangkau, dan pelayanannya ramah."
8c23302eb44e1b6d,istana_nasi_goreng,Hugo Gabriel,5,2 tahun lalu,"Nasi goreng nya enak, acar nya bebas ambil sendiri wkwkw.. service ramah polll bakal dtg lg sih, soalnya setiap plg kerja selalu lewat sini 👍👍"
40ea2d8c0874fd26,istana_nasi_goreng,sp barus,4,3 tahun lalu,"Nasi gorengnya 7 lah dari 10,Capcaynya enak, porsinya bisa buat 2 orang, suasananya agak berisik karna pas dipersimpangan jalan, parkir juga di pinggir jalan."
b091fff0bfe17715,istana_nasi_goreng,aulia koto,5,3 tahun lalu,"Nasi gorengnya enak, klo bungkus byk bnget dikasih.. Skrg toping nya full pake daging sapi..jd tmbah endul..tempatnya strategis,, diantara persimpangan, jd bisa nongki smbil liat suasana lalu lintas persimpangan.."
19ee8fb2ca6ba637,istana_nasi_goreng,rizal koto,5,3 tahun lalu,Ok sih
96329338e8d11af4,istana_nasi_goreng,Vani Van,5,3 tahun lalu,Untuk nasi gorengnya menirit saya kurang nendang sih yah. Tapi gak salahnya kalo teman2 pengen cobain yah nasgor sini heheh
a77de61c6120d676,istana_nasi_goreng,Hdr Tzr,5,3 tahun lalu,NasGor Lezat 👍👍👍
fe8760dd6456b420,istana_nasi_goreng,Husein Aribowo,5,3 tahun lalu,"cobain capcai ala acehnya deh, enak sih... 👌 …"
3b478b16bb24ac92,istana_nasi_goreng,Turmizi Ishak,5,3 tahun lalu,Mantap lagi sedap
cea6dd65755e9473,istana_nasi_goreng,RISTIA HADINATA,5,3 tahun lalu,Mantap masakannya langganan saya..
d9e31ce7ec468cc8,istana_nasi_goreng,irving pasaribu,5,Diedit 3 tahun lalu,"Sempurna, harga terendah, suka perpaduan rasa dan suasananya, staf ramah.."
674407125b14835e,istana_nasi_goreng,Ahmad Gozali Tanjung,4,3 tahun lalu,"Harga nasi gorengnya 17rb pake ayam suir gtu. Prosinya sedikit jadi g cocok buat kelen yang mau porsi gedek...

Harganya juga relatif mahal..
Bayar parkir

Posisinya persis di tikungan jadi hati2lah kalau mau pakrir..."
95e3719af1953af3,istana_nasi_goreng,Muhammad Ardhika Pratama Sitepu,5,3 tahun lalu,Murah meriah enak dan kenyang
c6a7f08a671641e4,istana_nasi_goreng,Jennifer Siagian,5,4 tahun lalu,Mantap
c9b42113b589ea84,istana_nasi_goreng,Adi Pangestu,5,4 tahun lalu,"Ini rasanya enak bet.. Lbh enak dr tetangganya yg ujung itu.... T4 juga asik buat nongkrong.
Harganya logis rasanya geerrrr.."
ca1e101b9b155c25,istana_nasi_goreng,Fadhila Hayani,5,4 tahun lalu,Direkomendasikan
ad51cb2221845eee,istana_nasi_goreng,Ainul Mardiah,4,4 tahun lalu,tempat makan legend
259f9ec013a11ae4,istana_nasi_goreng,Oh My Le!,5,4 tahun lalu,Depan Istana. Bang Gondrong
6e7be12825b56f73,istana_nasi_goreng,Jon Paunk,5,4 tahun lalu,Enak
15ea3218f776976f,istana_nasi_goreng,Fernando Pasaribu,5,4 tahun lalu,Nasi goreng PIJA (pinggir jalan) mantap murah meriah .
2646556deb3d4688,istana_nasi_goreng,Togu Simamora,5,4 tahun lalu,Mantap
4b2962de4f953ad4,istana_nasi_goreng,miko zoya,5,4 tahun lalu,Nasi gorengnya mantap ...
809f94dfe02569f3,istana_nasi_goreng,arie prihady,5,4 tahun lalu,Nasi goreng daging sapi nya ok banget
a24228c1f9f299bd,istana_nasi_goreng,Vidi Marsha,5,4 tahun lalu,Enak
5f3c20506537d751,istana_nasi_goreng,Raka Wildan Sima,5,4 tahun lalu,"•Pelayanan yang baik.
•Rekomendasi makanan : nasi goreng dengan acar."
7d75dcad2fa6a038,istana_nasi_goreng,Mario N,5,4 tahun lalu,E
abe8d461282528cb,istana_nasi_goreng,Ahmad Jaya,5,4 tahun lalu,Makan ppkm lvl 2
6a2dba12bc67d8a1,istana_nasi_goreng,kazim alkazim,5,4 tahun lalu,Enak
353bbf458a2338c1,istana_nasi_goreng,Arfian Ginting,4,4 tahun lalu,"Penasaran karena sering dilewati, akhirnya tadi singgah. Pesan nasi gorengnya yg disajikan lengkap dengan kerupuk ditambah sajian sate kerang, telur puyuh dan jengkol, sedangkan acar dan cabe rawit bebas ambil karena disajikan terpisah. Nasi gorengnya tidak pedas dan berwarna cerah ditambah semur ayam nya yg sedikit berkuah, kalo rasa sih biasa aja tidak terlalu istimewa tetapi bisa tertutupi kalo dicampur makannya dengan sate kerang atau jengkol. Btw lain lidah lain rasa😁, jadi silahkan dicoba."
538b33b45560d8b2,istana_nasi_goreng,reza lubis 88,5,4 tahun lalu,Mantap dan pelayanan nya ramah suasana nyaman👍👍👍😁😁 …
96193730722a2c99,istana_nasi_goreng,Yanti Yanti,5,4 tahun lalu,Sangat puas
41af32d6f933d1b8,istana_nasi_goreng,Yadi Haryadi,5,4 tahun lalu,tempat makan nasi goreng terenak di medan
ab01569dee5719e7,istana_nasi_goreng,Jessica Reklame,4,4 tahun lalu,"Makanannya enak , porsinya juga lumayan"
225c89d240640544,istana_nasi_goreng,Vivi Willyanti,5,4 tahun lalu,Untuk anak medan pasti udah kenal nasi goreng disini
b2daa15158949aa6,istana_nasi_goreng,I Asse,4,5 tahun lalu,Lumayan
8cc0bfe44ce8e561,istana_nasi_goreng,Khairanum Ulfah,5,5 tahun lalu,Nasi goreng dan mie tiaw gorengnya paling top 🤩 …
187fba216bce834f,istana_nasi_goreng,Rizky Trihayani,4,5 tahun lalu,Pelayanan nya cepat dan ramah
bcc9d2bd861d714e,istana_nasi_goreng,Ika Pede,5,5 tahun lalu,"Lapar tengah malam kesini aja, nasi goreng dengan semur ayam sbg toping"
003fb2e3cbd9e1a5,istana_nasi_goreng,Arif Pramono,4,5 tahun lalu,Bagus
71ebde12241b9978,istana_nasi_goreng,Zulham Effendy,5,5 tahun lalu,😘👍 …
2032d7885bf74706,istana_nasi_goreng,M.Muhkzihajj Sembiring,5,5 tahun lalu,"Posisinya tepat di persimpangan jalan antara jalan katamso dan Juanda. Nasi goreng dengan porsi lumayan jumbo, lengkap dengan toping ayam rendang plus telur dadar. Rekomendasi buat para pecinta nasi goreng, dan yang suka lapar saat waktu sudah tengah malam."
6f407bfdcbce083b,istana_nasi_goreng,Shally Simatupang,5,6 tahun lalu,👍 …
e5a35ae9fc6c9777,istana_nasi_goreng,unzi risqi,5,6 tahun lalu,Nasi goreng nya mantul👍👍 …
c11dffe62a1bc0a1,istana_nasi_goreng,aff virgo,5,6 tahun lalu,istana nasi goreng
41a9c564f8f47b4c,istana_nasi_goreng,imamul hakim,5,6 tahun lalu,"Nasi goreng, mie tiaw, mie ifo... semuanya enak
harga murah dan menyenangkan"
d763304a683494c9,istana_nasi_goreng,Sulistiono Naufal,3,6 tahun lalu,"Biasa aja,"
